i,refi,refq
801,0.835141,-0.550036
802,0.571758,0.820422
803,-0.805138,0.593088
804,-0.614008,-0.789300
805,0.772918,-0.634506
806,0.654567,0.756004
807,-0.738569,0.674178
808,-0.693324,-0.720626
809,0.702187,-0.711993
810,0.730172,0.683264
811,-0.663871,0.747847
812,-0.765008,-0.644020
813,0.623727,-0.781642
814,0.797739,0.603004
815,-0.581865,0.813285
816,-0.828272,-0.560326
817,0.538401,-0.842689
818,0.856525,0.516106
819,-0.493455,0.869771
820,-0.882419,-0.470464
821,0.447150,-0.894459
822,0.905883,0.423527
823,-0.399613,0.916684
824,-0.926853,-0.375424
825,0.350976,-0.936384
826,0.945271,0.326287
827,-0.301373,0.953506
828,-0.961085,-0.276251
829,0.250940,-0.968003
830,0.974254,0.225455
831,-0.199815,0.979834
832,-0.984739,-0.174038
833,0.148141,-0.988966
834,0.992513,0.122142
835,-0.096059,0.995376
836,-0.997553,-0.069909
837,0.043712,-0.999044
838,0.999847,0.017484
839,0.008756,0.999962
840,-0.999388,0.034989
841,-0.061199,-0.998126
842,0.996176,-0.087366
843,0.113473,0.993541
844,-0.990222,0.139503
845,-0.165436,-0.986221
846,0.981540,-0.191255
847,0.216942,0.976184
848,-0.970156,0.242480
849,-0.267852,-0.963460
850,0.956101,-0.293038
851,0.318023,0.948083
852,-0.939412,0.342789
853,-0.367319,-0.930095
854,0.920137,-0.391596
855,0.415604,0.909546
856,-0.898328,0.439325
857,-0.462744,-0.886492
858,0.874046,-0.485844
859,0.508609,0.860997
860,-0.847356,0.531025
861,-0.553075,-0.833132
862,0.818333,-0.574744
863,0.596017,0.802972
864,-0.787057,0.616880
865,-0.637318,-0.770601
866,0.753614,-0.657317
867,0.676864,0.736108
868,-0.718095,0.695945
869,-0.714547,-0.699588
870,0.680599,-0.732656
871,0.750261,0.661142
872,-0.641229,0.767350
873,-0.783910,-0.620875
874,0.600093,-0.799930
875,0.815400,0.578898
876,-0.557305,0.830308
877,-0.844645,-0.535327
